City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
272,Watsa,CD,2022-10-14 14:10:34,3.0372,29.5355,75.25,87,95,4.27
273,Aswan,EG,2022-10-14 14:11:35,24.0934,32.907,93.56,17,0,10.27
274,Lorengau,PG,2022-10-14 14:11:35,-2.0226,147.2712,81.48,72,49,9.62
275,Boyuibe,BO,2022-10-14 14:11:36,-20.4167,-63.2833,78.06,42,100,8.41
276,Dire Dawa,ET,2022-10-14 14:11:36,9.5931,41.8661,84.56,24,16,5.97
277,Athens,GR,2022-10-14 14:11:00,37.9795,23.7162,67.15,72,40,15.01
278,Bambous Virieux,MU,2022-10-14 14:11:37,-20.3428,57.7575,73.22,67,7,14.25
279,Dharchula,IN,2022-10-14 14:11:37,29.85,80.5333,61.21,77,2,5.46
280,Shumskiy,RU,2022-10-14 14:11:38,54.8318,99.1328,31.14,93,95,3.0
281,Novikovo,RU,2022-10-14 14:11:38,51.1537,37.8879,47.16,56,56,6.93
282,Bereda,ES,2022-10-14 14:11:39,43.2686,-7.5406,71.15,69,0,7.58
283,New Norfolk,AU,2022-10-14 14:11:40,-42.7826,147.0587,51.3,65,63,1.99
284,Victoria,HK,2022-10-14 14:11:40,22.2855,114.1577,80.65,77,12,10.0
285,Yerbogachen,RU,2022-10-14 14:11:41,61.2767,108.0108,31.71,65,100,6.55
286,Faanui,PF,2022-10-14 14:11:41,-16.4833,-151.75,78.26,73,17,8.01
287,Bloomingdale,US,2022-10-14 14:11:42,27.8936,-82.2404,79.02,90,40,7.0
288,Nambucca Heads,AU,2022-10-14 14:11:42,-30.65,153.0,60.8,76,0,7.36
289,Matagami,CA,2022-10-14 14:11:43,49.7502,-77.6328,46.51,93,75,11.5
290,Lasa,IT,2022-10-14 14:11:43,46.6166,10.7002,62.69,60,100,2.3
291,Port Moresby,PG,2022-10-14 14:11:09,-9.4431,147.1797,77.52,90,43,8.05
